event_id,event_calendar_date,event_title,sample_group,relative_trading_day,company_count,aar,aar_standard_deviation,aar_standard_error,caar,ols_aar,ols_aar_standard_deviation,ols_aar_standard_error,ols_caar
EVT_PRIMARY_20260228,2026-02-28,Primary conflict event specified in the approved research design,CONFIRMATORY,9,8,0.008144517247253449,0.016506305795177888,0.005835860380054546,0.03890382031569013,0.005569187287131287,0.016619042677657275,0.005875718887100048,0.017473797433518456
EVT_PRIMARY_20260228,2026-02-28,Primary conflict event specified in the approved research design,CONFIRMATORY,10,8,0.008101308523683112,0.018471885650852372,0.006530797802510097,0.047005128839373245,0.009571895902501138,0.0162282722608005,0.005737560681276789,0.027045693336019593
EVT_PRIMARY_20260228,2026-02-28,Primary conflict event specified in the approved research design,EXPLORATORY,-5,37,-0.0022357898469482227,0.03209226619537149,0.005275936062853025,-0.0022357898469482227,-0.0018431909596086514,0.028415985116657813,0.00467155917646265,-0.0018431909596086514
EVT_PRIMARY_20260228,2026-02-28,Primary conflict event specified in the approved research design,EXPLORATORY,-4,37,0.0013219516307972183,0.015338373270348819,0.002521613032556907,-0.0009138382161510044,0.0007226119482948891,0.015232636024837865,0.0025042299364744485,-0.0011205790113137624
EVT_PRIMARY_20260228,2026-02-28,Primary conflict event specified in the approved research design,EXPLORATORY,-3,37,-0.005002918025948475,0.014704220203418513,0.0024173589105569784,-0.005916756242099479,-0.005049032123598189,0.012935266678643156,0.0021265447424936674,-0.006169611134911952
EVT_PRIMARY_20260228,2026-02-28,Primary conflict event specified in the approved research design,EXPLORATORY,-2,37,-0.000345049488026589,0.02090331856034491,0.0034364844026419823,-0.006261805730126068,-0.0007366980922830218,0.02095992306901313,0.0034457901265439552,-0.006906309227194973
EVT_PRIMARY_20260228,2026-02-28,Primary conflict event specified in the approved research design,EXPLORATORY,-1,37,0.002905866915057916,0.02028539614941851,0.0033348985840523974,-0.003355938815068152,0.002142511531821992,0.019060291039606433,0.0031334925446566734,-0.004763797695372982
EVT_PRIMARY_20260228,2026-02-28,Primary conflict event specified in the approved research design,EXPLORATORY,0,37,0.02350831211122496,0.028962660168568313,0.004761432001381839,0.02015237329615681,0.021237980185116304,0.027836254689869135,0.004576252081388488,0.016474182489743323
EVT_PRIMARY_20260228,2026-02-28,Primary conflict event specified in the approved research design,EXPLORATORY,1,37,0.01154380714163839,0.024290225765606976,0.003993288517284284,0.0316961804377952,0.009498675287411225,0.025340404464628704,0.004165936831893114,0.025972857777154548
EVT_PRIMARY_20260228,2026-02-28,Primary conflict event specified in the approved research design,EXPLORATORY,2,37,-0.0033384923716935464,0.018864643820783907,0.0031013283400131405,0.02835768806610165,-0.0035690249250138486,0.01710988020516752,0.002812846978645519,0.0224038328521407
